date;day;description;transferred
2015-05-04;Monday;Buddha Purnima/Vesak;Gazetted Holiday
2015-05-09;Saturday;Birthday of Ravindranath;Restricted Holiday
2015-05-10;Sunday;Mother's Day;Observance
2015-06-21;Sunday;Father's Day;Observance
2015-06-21;Sunday;June Solstice;Season
2015-07-17;Friday;Jamat Ul-Vida;Restricted Holiday
2015-07-18;Saturday;Rath Yatra;Restricted Holiday
2015-07-19;Sunday;Ramzan Id/Eid-ul-Fitar;Muslim, Common local holiday
2015-08-02;Sunday;Friendship Day;Observance
2015-08-15;Saturday;Independence Day;Gazetted Holiday
2015-08-18;Tuesday;Parsi New Year;Restricted Holiday
2015-08-28;Friday;Onam;Restricted Holiday
2015-08-29;Saturday;Raksha Bandhan (Rakhi);Restricted Holiday
2015-09-05;Saturday;Janmashtami;Gazetted Holiday
2015-09-17;Thursday;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
2015-09-23;Wednesday;September Equinox;Season
2015-09-25;Friday;Bakr Id/Eid ul-Adha;Gazetted Holiday
2015-10-02;Friday;Mahatma Gandhi Jayanti;Gazetted Holiday
2015-10-20;Tuesday;Maha Saptami;Restricted Holiday
2015-10-21;Wednesday;Maha Ashtami;Restricted Holiday
2015-10-22;Thursday;Dussehra;Gazetted Holiday
2015-10-24;Saturday;Muharram/Ashura;Gazetted Holiday
2015-10-27;Tuesday;Maharishi Valmiki Jayanti;Restricted Holiday
2015-10-30;Friday;Karaka Chaturthi (Karva Chauth);Restricted Holiday
2015-10-31;Saturday;Halloween;Observance
2015-11-10;Tuesday;Naraka Chaturdasi;Restricted Holiday
2015-11-11;Wednesday;Diwali/Deepavali;Gazetted Holiday
2015-11-12;Thursday;Govardhan Puja;Restricted Holiday
2015-11-13;Friday;Bhai Duj;Restricted Holiday
2015-11-17;Tuesday;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
2015-11-24;Tuesday;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
2015-11-25;Wednesday;Guru Nanak Jayanti;Gazetted Holiday
2015-12-07;Monday;First Day of Hanukkah;Observance
2015-12-14;Monday;Last day of Hanukkah;Observance
2015-12-22;Tuesday;December Solstice;Season
2015-12-24;Thursday;Christmas Eve;Restricted Holiday
2015-12-25;Friday;Christmas;Gazetted Holiday
2015-12-31;Thursday;New Year's Eve;Observance
2016-01-01;Friday;New Year's Day;Restricted Holiday
2016-01-14;Thursday;Makar Sankranti;Restricted Holiday
2016-01-15;Friday;Pongal;Restricted Holiday
2016-01-16;Saturday;Guru Govind Singh Jayanti;Restricted Holiday
2016-01-26;Tuesday;Republic Day;Gazetted Holiday
2016-02-08;Monday;Chinese New Year;Observance
2016-02-12;Friday;Vasant Panchami;Restricted Holiday
2016-02-14;Sunday;Valentine's Day;Observance
2016-02-19;Friday;Shivaji Jayanti;Restricted Holiday
2016-02-22;Monday;Guru Ravidas Jayanti;Restricted Holiday
2016-03-04;Friday;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
2016-03-07;Monday;Maha Shivaratri/Shivaratri;Gazetted Holiday
2016-03-20;Sunday;March Equinox;Season
2016-03-23;Wednesday;Holika Dahana;Restricted Holiday
2016-03-24;Thursday;Maundy Thursday;Observance, Christian
2016-03-24;Thursday;Holi;Restricted Holiday
2016-03-25;Friday;Good Friday;Gazetted Holiday
2016-03-27;Sunday;Easter Day;Restricted Holiday
2016-04-08;Friday;Chaitra Sukhladi;Restricted Holiday
2016-04-13;Wednesday;Vaisakhi;Restricted Holiday
2016-04-14;Thursday;Mesadi/Vaisakhadi;Restricted Holiday
2016-04-14;Thursday;Ambedkar Jayanti;Observance
2016-04-15;Friday;Rama Navami;Gazetted Holiday
2016-04-20;Wednesday;Mahavir Jayanti;Gazetted Holiday
2016-04-21;Thursday;Hazarat Ali's Birthday;Restricted Holiday
2016-04-23;Saturday;First day of Passover;Observance
2016-05-01;Sunday;May Day;Observance
2016-05-08;Sunday;Mother's Day;Observance
2016-05-08;Sunday;Birthday of Ravindranath;Restricted Holiday
2016-05-21;Saturday;Buddha Purnima/Vesak;Gazetted Holiday
2016-06-19;Sunday;Father's Day;Observance
2016-06-21;Tuesday;June Solstice;Season
2016-07-01;Friday;Jamat Ul-Vida;Restricted Holiday
2016-07-06;Wednesday;Ramzan Id/Eid-ul-Fitar;Muslim, Common local holiday
2016-07-06;Wednesday;Rath Yatra;Restricted Holiday
2016-08-07;Sunday;Friendship Day;Observance
